,badger,barnacle,bat1,cardinal,cat,cheetah,chicken_wire,cockroach,duckling,ferret,flamingo,fox,giraffe,guinea_pig,oyster,rabbit,scallop,seahorse,snail,squid,tiger,walrus,worm
fox,3.9085884906224093,4.449931334973731,3.6448505354841654,6.829027756829927,3.3012626505130154,5.522737538230966,5.852010921394734,3.9879617733982133,3.349987121981002,3.683561415834918,4.590047582137806,0.0,3.743657000657302,3.172008982186442,3.311336101771256,3.51880023876813,3.0813829138219684,4.2761039162039,4.622815722407309,3.337524326743072,5.452124855225224,4.48824718737723,4.368929356565335
giraffe,3.6399333467702966,3.6103029757839518,4.312271988052658,8.270240408743517,3.158612410078773,4.029849186781754,5.496649026492321,4.43540617393788,3.362874520909509,4.047393796574284,5.7483958313715835,3.743657000657302,0.0,3.334245798893872,3.710683052742105,3.782479660325379,4.278667064131918,4.952610492370916,5.775995556664257,4.133160666151354,4.300646389025226,4.721906171250802,3.1842395073055587
guinea_pig,3.523578027785628,3.9282407375332986,3.483469278113604,6.996165758840287,2.6261816234238844,4.599718197839265,5.141393013208489,3.793920636489574,3.0105412503802227,3.2442288244274975,4.881568927721769,3.172008982186442,3.334245798893872,0.0,3.0652061325954647,3.3944131052705835,3.3307626217355106,4.02134102657451,4.677752494299702,3.1292618670946237,4.688341378944881,3.9200437204564507,3.5408150884981975
oyster,3.5061515501732807,4.047495426791908,3.4157329829883687,6.7107821734659785,3.27552153800617,5.055081951992771,5.550186474961118,4.2531965150862,3.47722741977138,3.3518017110780076,4.789983398584709,3.311336101771256,3.710683052742105,3.0652061325954647,0.0,3.5836102654864197,3.2678304315112308,3.8057578083365478,4.436925921126724,3.084725107457805,5.332196337248664,4.4058530526861865,3.867822579062028
rabbit,3.392721993143278,5.109355524688863,3.8969655033197155,6.374254483379743,3.884698641835701,5.562312434303706,4.229084043795109,4.499328553281662,3.6401139861465928,2.5902393131151795,4.427137206899886,3.51880023876813,3.782479660325379,3.3944131052705835,3.5836102654864197,0.0,4.379862941043108,3.8326910725533336,4.035678543681255,3.6294734434724147,6.235994341525661,3.4425024901277634,4.4413197474109465
scallop,4.63776294715593,4.452315033253204,3.935562285254057,6.764409126421525,3.445569504664684,5.480683457257868,6.0793915049232465,3.9732164291062975,3.716665954634654,4.2190752173010715,4.760418255908871,3.0813829138219684,4.278667064131918,3.3307626217355106,3.2678304315112308,4.379862941043108,0.0,4.365061720212923,4.946206014701574,3.34886654847335,5.265323585494826,4.88830120920426,4.368598608641419
seahorse,3.651202066610048,5.805756716882154,3.569042532964881,4.9099081761382495,4.489326224464712,6.508558991422104,5.376335240626773,4.464109282068056,4.751450945285237,3.5665386507125065,4.021502035371828,4.2761039162039,4.952610492370916,4.02134102657451,3.8057578083365478,3.8326910725533336,4.365061720212923,0.0,3.1707171584972813,3.2143132582509373,7.005859357900681,3.7292061937144054,5.6992919777932585
snail,4.349114755501797,6.914145766968856,4.235441682545168,3.97098640763283,5.1634633930713365,7.76106280632145,5.31842749870282,5.010922166360034,5.221945119955325,3.6786537360198253,3.4848398252639092,4.622815722407309,5.775995556664257,4.677752494299702,4.436925921126724,4.035678543681255,4.946206014701574,3.1707171584972813,0.0,3.754556463092246,8.122441642694394,3.8705019477280804,6.636053570578574
squid,3.459057564063757,4.926348418772761,3.1659632104325266,5.899999457575586,3.583357993108089,5.92593764707659,5.415044893348911,4.057003382029469,3.752692334536231,3.4217693584428694,4.006446180373858,3.337524326743072,4.133160666151354,3.1292618670946237,3.084725107457805,3.6294734434724147,3.34886654847335,3.2143132582509373,3.754556463092246,0.0,6.146422986003104,4.0921294368218595,4.793781927309027
tiger,5.960082608625116,3.6930303414781918,6.19731298764273,10.294837489294387,4.444563393403797,3.8472567287418378,7.715337283565154,5.909794427353562,4.8973265106929675,6.331046738034217,7.956222023315994,5.452124855225224,4.300646389025226,4.688341378944881,5.332196337248664,6.235994341525661,5.265323585494826,7.005859357900681,8.122441642694394,6.146422986003104,0.0,6.7980904397492985,3.7393106773027402
