,animal,body part,clothing,clothing accessory,container,dessert,drink,electronic device,food,furniture,home decor,kitchen appliance,kitchen tool,medical equipment,musical instrument,office supply,part of car,plant,sports equipment,tool,toy,vehicle,weapon
home decor,6.736626169465581,7.568417320925504,3.859043113249581,2.8051169798419098,3.9404797450150064,2.952302254095275,3.9799572545460413,3.266179944481791,2.616050974080993,4.272533615299209,0.0,3.1619997387650276,4.506935425498239,6.127635359331694,2.131279996113294,6.50385159696494,3.05010413349771,3.0437627488008268,2.788916456321175,3.592682110489362,3.0161866007014466,2.5442589490095857,3.0674041214987993
kitchen appliance,8.208540203740487,7.4880285435430824,4.79307438829696,3.292175004786186,3.17000362072602,4.0347874621059026,3.7184792171476078,2.2512731498718757,3.968387019164919,3.135982582294199,3.1619997387650276,0.0,3.9196657672513178,5.247127742124753,2.5476052286224258,5.318289966933804,2.1953863637524624,4.73450664603449,2.6329563377708616,3.235390812907611,4.470910958104845,2.6357953388963375,2.8552384270139943
kitchen tool,7.592027553166763,4.741259042259907,3.734214830253531,2.643962114537101,1.731327843170166,4.096055038488817,2.477996888269272,2.305920660261545,4.6473707696425075,2.005588067949096,4.506935425498239,3.9196657672513178,0.0,2.1945417243514425,3.0980659099486507,2.826969474193223,2.9770475280320796,6.698814928495565,2.0613716963562188,1.4938651274286445,4.421243870047821,4.189324830638521,2.167036658830417
medical equipment,8.560840148543543,4.000288300688851,4.571626935946662,4.345849711235363,2.6719892206151648,5.636405709080804,3.5510110092501908,3.5900163711839066,6.311526536584348,2.8801193433781003,6.127635359331694,5.247127742124753,2.1945417243514425,0.0,4.726903260448387,1.852948614504026,4.401492294120985,8.343466608680377,3.6850589591448584,3.2142973980355585,5.9180576159117155,5.770371339554681,3.892306278123607
musical instrument,7.276086129190426,6.785231322568286,3.717165964425002,1.8969704526912536,2.743833084425405,3.0868944982903654,3.1288674146184294,1.901505810062537,2.9628826795652734,2.891532158732675,2.131279996113294,2.5476052286224258,3.0980659099486507,4.726903260448387,0.0,5.083381927265745,1.7754703582549456,4.211596705811551,1.529177184805795,2.105953712413788,3.200255781171473,1.948576356233517,1.7369514402956754
office supply,9.759045080594293,5.068420143835379,5.653455784652406,4.9599789277148325,3.0153261952604664,6.143915406188859,4.017689788602475,3.7270986595145117,6.670861149501751,2.835423440701156,6.50385159696494,5.318289966933804,2.826969474193223,1.852948614504026,5.083381927265745,0.0,4.465334001976595,8.372412418611868,4.0723973075638895,3.6244114994840197,6.777976088098161,5.925080187913816,4.275861392366633
part of car,8.099641704239048,6.820894782458924,4.323767155475332,2.512123204825032,2.4356066662827254,3.713707386771738,3.178971015591214,1.355312263967779,3.6661097256143305,2.4635387779847764,3.05010413349771,2.1953863637524624,2.9770475280320796,4.401492294120985,1.7754703582549456,4.465334001976595,0.0,4.793353067003703,1.661365776159312,2.2337424233832572,4.183597670052604,2.3845576728272797,1.9575151014255667
plant,8.681468164539957,9.938125218417994,6.464767254414216,5.110680493756706,6.067085027293734,4.7486830074390785,6.068356008531661,5.330392861030918,3.753351521058508,6.164093262489763,3.0437627488008268,4.73450664603449,6.698814928495565,8.343466608680377,4.211596705811551,8.372412418611868,4.793353067003703,0.0,5.013473914131111,5.596899214473166,5.2977397279626475,3.7872599991594558,5.087938236782678
sports equipment,7.173746590191624,5.8640343751719515,3.3332482461964044,1.6173904411934057,1.7362016046560278,3.0181747564234707,2.251571111572476,1.3235652005758614,3.2792131454762488,2.107247777845176,2.788916456321175,2.6329563377708616,2.0613716963562188,3.6850589591448584,1.529177184805795,4.0723973075638895,1.661365776159312,5.013473914131111,0.0,1.3422472418332156,3.3212158808397905,2.63839584362087,1.2961319771256998
tool,7.530827926840403,5.664788838384266,3.8410040621802914,2.0245783393545316,1.9100656384727204,3.5216927964826965,2.525736516704104,1.8454001181916042,3.7777406759899073,1.9117521676000986,3.592682110489362,3.235390812907611,1.4938651274286445,3.2142973980355585,2.105953712413788,3.6244114994840197,2.2337424233832572,5.596899214473166,1.3422472418332156,0.0,3.885266021553653,3.1119609193094897,1.1363924746979983
toy,4.619072980547524,6.430072155473565,2.9294891921298953,2.546942691015068,4.3694623910972235,2.41517520905475,3.7445740426300875,4.1561409282469945,2.7553150815571863,4.968685292792839,3.0161866007014466,4.470910958104845,4.421243870047821,5.9180576159117155,3.200255781171473,6.777976088098161,4.183597670052604,5.2977397279626475,3.3212158808397905,3.885266021553653,0.0,3.9632853577205838,3.4860298465931376
vehicle,7.93305643086487,8.078660275176414,4.982767008115768,2.931232782840487,3.785050930416902,3.8409140680402594,4.308930619132378,2.689516024034665,3.4589574308385016,3.6134062859325073,2.5442589490095857,2.6357953388963375,4.189324830638521,5.770371339554681,1.948576356233517,5.925080187913816,2.3845576728272797,3.7872599991594558,2.63839584362087,3.1119609193094897,3.9632853577205838,0.0,2.495460966570003
weapon,7.216642632180288,6.101740070071562,3.84382896817001,1.777960538014507,2.275505259001644,3.089459531096315,2.742611865685626,1.7786159989818153,3.2836977638774374,2.2613977597163815,3.0674041214987993,2.8552384270139943,2.167036658830417,3.892306278123607,1.7369514402956754,4.275861392366633,1.9575151014255667,5.087938236782678,1.2961319771256998,1.1363924746979983,3.4860298465931376,2.495460966570003,0.0
