,badger,barnacle,bat1,cardinal,cat,cheetah,chicken_wire,cockroach,duckling,ferret,flamingo,fox,giraffe,guinea_pig,oyster,rabbit,scallop,seahorse,snail,squid,tiger,walrus,worm
guinea_pig,5.417030374605596,10.553078974010367,5.312065066591782,5.109523067431098,3.280879096316616,6.237491804056857,14.86867326369068,8.8405353182064,2.951418046383005,2.7816119087756443,6.824039316632762,4.016875886850668,7.976853596940782,0.0,9.173211892780404,4.998771775106016,9.659726737001863,7.014768386420803,8.990156757919125,8.816836804573635,4.019530267442875,4.444049008545913,11.115338390164567
oyster,5.121244946007178,2.554567729633886,4.810143965984797,5.986521554283194,8.764054924145805,4.4870989279564135,6.477565731998299,3.639523133702473,7.903643064029054,8.48928911531149,4.807496822025507,9.714727029731675,3.294036026521007,9.173211892780404,0.0,5.702978073980528,2.1084200243291735,4.086977482529065,2.891678149464039,2.9302888827049194,6.517800603864204,6.036032819396804,3.191400556413831
rabbit,2.4528280455846914,7.073929423322304,2.4616786804146678,2.831442045263279,4.395139751504477,3.091695627051957,11.134694340508975,5.103359110854203,3.5395254855993747,3.8833162804329135,3.4266561135698224,5.618160546332312,4.128116826421444,4.998771775106016,5.702978073980528,0.0,6.03865020761178,3.3907610057349773,5.254994397547966,5.040823456877371,2.909001174031996,2.9249595310332737,7.476452076845562
scallop,5.516102199130843,2.89634262218915,5.181788448805477,6.406217604804251,9.28425316803501,5.0550554458124894,5.915566714222416,3.7773539594629493,8.378830879588397,8.889334353291945,5.167550300660818,10.273887649027563,3.679515186439889,9.659726737001863,2.1084200243291735,6.03865020761178,0.0,4.347637443445514,2.6193361764116365,3.089055726201773,7.093165437177639,6.568275415277138,3.1654995108113
seahorse,3.3653141417134442,5.352604565519674,2.937748314404254,3.2627826225112737,6.681916057748111,2.9019352179835134,9.191376438953503,3.744771080736858,5.519964200991766,6.044730698224303,2.720335797304515,7.756314582176875,2.755797065443041,7.014768386420803,4.086977482529065,3.3907610057349773,4.347637443445514,0.0,3.83689882808105,3.4881779634073333,4.384732102771282,4.129324257719954,5.649968584788806
snail,4.651350565045603,3.864721153407868,4.357212360355623,5.6821716752026115,8.662098683692573,4.644086017623146,6.942586417836872,3.430723191328201,7.577181344058755,8.161518782110067,4.607831479518089,9.771390406713847,3.3117681062015185,8.990156757919125,2.891678149464039,5.254994397547966,2.6193361764116365,3.83689882808105,0.0,2.4865575138494083,6.542663329195313,5.902250994890931,3.889385222836358
squid,4.532834927180076,3.8118374183324324,4.235209658629285,5.333463768856275,8.413194933247738,4.226683856298223,7.369213695138001,3.0515805835021332,7.383250443703975,8.091593669983917,4.1518880247730685,9.543259164740942,2.925265573655721,8.816836804573635,2.9302888827049194,5.040823456877371,3.089055726201773,3.4881779634073333,2.4865575138494083,0.0,6.165418598182264,5.537423553330525,3.9250428273051425
tiger,3.5635935290155056,7.7500427268392595,3.404124756056183,3.3422564371989107,4.20649771247977,3.2476202892903925,12.159329073300874,5.860075174244666,2.8788465551071556,3.4560278068442,4.128064536794458,4.93754358819581,5.022590380737072,4.019530267442875,6.517800603864204,2.909001174031996,7.093165437177639,4.384732102771282,6.542663329195313,6.165418598182264,0.0,2.9381368724066017,8.175286530685602
walrus,3.349236940954286,7.38392545105498,2.6659328838021654,3.0696227126486386,4.33549857889435,3.556165751825654,11.769300303634907,5.597987396567964,3.5382077417815854,3.8905927348672487,3.9937646127565114,5.216908841168366,4.842610489189883,4.444049008545913,6.036032819396804,2.9249595310332737,6.568275415277138,4.129324257719954,5.902250994890931,5.537423553330525,2.9381368724066017,0.0,7.98757621457071
worm,6.75175048373301,2.500442352223604,6.7541091377094835,7.778001149745449,10.876836655949939,5.929351769679065,4.763268383354133,4.044516899653527,9.662165097922356,10.405341500963637,6.326526349376347,11.789073078413493,4.6254464687837595,11.115338390164567,3.191400556413831,7.476452076845562,3.1654995108113,5.649968584788806,3.889385222836358,3.9250428273051425,8.175286530685602,7.98757621457071,0.0
